GEOID,houses,Median_household_income
1001,22308,68315
1003,90802,71039
1005,9016,39712
1007,7216,50669
1009,21626,57440
1011,3450,36136
1013,7131,44429
1015,44693,54339
1017,13143,48805
1019,9997,46621
1021,16931,62471
1023,5228,43299
1025,8188,47549
1027,5485,48074
1029,5761,51553
1031,20363,62199
1033,23266,56149
1035,4453,39888
1037,3999,52279
1039,14194,48772
1041,4839,48557
1043,33649,58119
1045,19400,52813
1047,14753,37180
1049,25690,47920
1051,32184,73258
1053,13022,41153
1055,38791,52177
1057,6143,45650
1059,11239,47359
1061,10391,47608
1063,2872,32796
1065,5403,35851
1067,6686,58395
1069,41543,55064
1071,20670,46748
1073,265794,63595
1075,5168,49565
1077,38237,56081
1079,12829,54786
1081,65166,59288
1083,38572,80146
1085,4001,33125
1087,7131,41206
1089,159569,78058
1091,7379,42975
1093,11018,49743
1095,35930,58272
1097,159605,55352
1099,7298,39965
1101,89721,56707
1103,48004,61588
1105,3075,32332
1107,7083,45339
1109,11996,42616
1111,8729,49879
1113,23462,47420
1115,33838,73218
1117,83776,90618
1119,4798,31726
1121,32359,52457
1123,16438,53282
1125,84743,61645
1127,24718,52987
1129,5506,51184
1131,3579,38208
1133,9103,49494
2013,899,79961
2016,969,100662
2020,107134,95731
2050,4565,64094
2060,284,94167
2063,2755,83068
2066,1090,70606
2068,525,87292
2070,1384,69412
2090,35824,81655
2100,786,68276
2105,867,62344
2110,13017,95711
2122,23201,76272
2130,5568,82763
2150,4415,91138
2158,1864,42663
2164,326,61607
2170,39290,86435
2180,2786,70121
2185,2168,83472
2188,1776,77647
2195,1254,77826
2198,2334,61779
2220,3459,95261
2230,410,79583
2240,2189,75378
2275,928,61000
2282,231,76875
2290,2078,47826
4001,19786,37483
4003,49680,58421
4005,51993,67266
4007,22714,55242
4009,12018,64089
4011,3304,73756
4012,8911,46634
4013,1665560,80675
4015,95169,53592
4017,37565,50335
4019,423075,64323
4021,151490,73313
4023,16651,51885
4025,106542,62430
4027,74678,56439
5001,6559,58695
5003,7194,44804
5005,19021,47403
5007,104164,85269
5009,15172,52275
5011,3587,43688
5013,1498,60237
5015,11357,56826
5017,4008,36593
5019,7955,48071
5021,6063,44685
5023,10626,52780
5025,2742,48913
5027,7826,47441
5029,8422,50282
5031,42351,55169
5033,22731,56702
5035,18587,51860
5037,6564,48129
5039,2289,40085
5041,4603,38067
5043,6913,44968
5045,47396,61273
5047,6705,47695
5049,4780,38917
5051,43220,54229
5053,6856,68598
5055,17741,54879
5057,7355,45049
5059,11900,50260
5061,5224,44824
5063,14417,52361
5065,4850,46159
5067,6116,41929
5069,24278,46855
5071,9899,42470
5073,2547,40262
5075,6359,43606
5077,2586,33801
5079,3378,50526
5081,4734,58627
5083,8405,51131
5085,27582,68078
5087,6250,51514
5089,7140,42891
5091,15863,47613
5093,15005,50012
5095,2826,41786
5097,3589,47103
5099,3154,43421
5101,2905,50699
5103,8459,47348
5105,3829,53980
5107,6180,37458
5109,4007,49248
5111,9082,43440
5113,7717,48449
5115,23684,51678
5117,3314,47045
5119,167768,58326
5121,7190,45993
5123,8102,39822
5125,48465,73236
5127,3901,45340
5129,2948,42063
5131,51862,54047
5133,5543,53567
5135,6901,43332
5137,4731,37664
5139,14940,49745
5141,6833,45768
5143,93781,61985
5145,28788,51144
5147,2626,49608
5149,7751,55879
6001,585818,122488
6003,435,101125
6005,15745,74853
6007,83319,66085
6009,17198,77526
6011,7432,69619
6013,408537,120020
6015,9530,61149
6017,75190,99246
6019,318322,67756
6021,9742,64033
6023,54495,57881
6025,47024,53847
6027,7849,63417
6029,277499,63883
6031,43594,68540
6033,26487,56259
6035,8925,59515
6037,3363093,83411
6039,43857,73543
6041,103709,142019
6043,7597,60021
6045,34557,61335
6047,82760,64772
6049,3403,54962
6051,5473,82038
6053,130973,91043
6055,49218,105809
6057,41415,79395
6059,1066286,109361
6061,152537,109375
6063,8104,67885
6065,749976,84505
6067,563856,84010
6069,19852,104451
6071,659928,77423
6073,1149157,96974
6075,360842,136689
6077,237423,82837
6079,108099,90158
6081,264323,149907
6083,148032,92332
6085,650352,153792
6087,96487,104409
6089,71107,68347
6091,1135,61108
6093,18768,53898
6095,154987,97037
6097,189653,99266
6099,175747,74872
6101,33041,72654
6103,24623,59029
6105,5483,47317
6107,140670,64474
6109,22831,70432
6111,275653,102141
6113,76107,85097
6115,27567,66693
8001,181211,86297
8003,6471,52271
8005,250751,92292
8007,5738,66813
8009,1586,42115
8011,1808,45776
8013,133390,99770
8014,30103,117541
8015,9066,65703
8017,740,65577
8019,4589,87169
8021,3087,44093
8023,1530,34578
8025,1315,40685
8027,2181,66250
8029,12263,56349
8031,322964,85853
8033,1185,64708
8035,131971,139010
8037,20084,98887
8039,9514,124360
8041,276371,82748
8043,17677,56165
8045,22390,82772
8047,2853,95902
8049,6238,79367
8051,7759,76538
8053,478,58712
8055,2877,49631
8057,645,38686
8059,238372,103167
8061,551,45250
8063,2979,58992
8065,2837,78942
8067,22691,81936
8069,148851,87199
8071,6631,48965
8073,1922,59167
8075,7985,54864
8077,63098,68077
8079,418,58929
8081,5187,63983
8083,10520,61377
8085,17042,62817
8087,10872,70471
8089,7594,47500
8091,2435,78750
8093,7688,85019
8095,1760,58474
8097,8114,96123
8099,4507,49422
8101,67090,59436
8103,2513,69882
8105,4657,57591
8107,10279,95144
8109,3071,51946
8111,337,67344
8113,3850,72829
8115,1049,45855
8117,11750,100611
8119,11040,69655
8121,2030,59087
8123,115536,89182
8125,3953,60118
9110,386549,88190
9120,117497,83147
9130,73084,99742
9140,177656,82939
9150,38574,83119
9160,45976,87971
9170,226154,83617
9180,113810,80330
9190,230507,118930
10001,68705,69278
10003,220437,85309
10005,99858,75406
11001,315785,101722
12001,108597,57566
12003,9004,67872
12005,74678,65999
12007,9067,54759
12009,246650,71308
12011,741973,70331
12013,4448,41526
12015,84671,62164
12017,67551,52569
12019,79704,82242
12021,156768,82011
12023,26391,53501
12027,12340,45000
12029,6164,45057
12031,396132,65579
12033,126537,61642
12035,47549,69251
12037,4761,58107
12039,15885,45721
12041,6872,56823
12043,4637,37221
12045,5648,56250
12047,4300,47668
12049,8127,44665
12051,13289,49259
12053,79169,59202
12055,44685,53679
12057,559970,70612
12059,7069,46063
12061,65735,67543
12063,16880,46144
12065,5519,51573
12067,2555,57852
12069,153817,66239
12071,311348,69368
12073,118755,61317
12075,17843,49933
12077,2447,51723
12079,6693,43386
12081,161656,71385
12083,154996,55265
12085,66724,77894
12086,952680,64215
12087,34388,80111
12089,36336,84085
12091,83334,73988
12093,14919,50476
12095,491378,72629
12097,119817,64312
12099,589594,76066
12101,223385,63187
12103,418716,66406
12105,264145,60901
12107,29782,44852
12109,102056,100020
12111,126443,66154
12113,69524,84715
12115,199345,77213
12117,183487,79490
12119,64305,70105
12121,15453,49729
12123,7465,46239
12125,4094,64043
12127,232673,63075
12129,11932,72035
12131,31491,74832
12133,9095,47536
13001,6890,43268
13003,3063,38007
13005,3909,43938
13007,1097,45417
13009,15853,54699
13011,6667,69096
13013,28781,75053
13015,38429,74812
13017,7126,38255
13019,6773,48670
13021,59480,48897
13023,4223,56021
13025,6649,40166
13027,5957,42263
13029,15255,90627
13031,29634,53675
13033,8913,50321
13035,8483,60076
13037,1497,48663
13039,20345,68104
13043,4103,45519
13045,42996,66895
13047,25775,68896
13049,4043,45770
13051,117383,66171
13053,2031,52943
13055,9292,43556
13057,97023,100824
13059,53336,48692
13061,1143,43264
13063,104820,56207
13065,2385,53350
13067,291171,94244
13069,14894,48398
13071,16539,47235
13073,50056,92571
13075,6116,46706
13077,54177,90031
13079,4332,56948
13081,7951,47463
13083,6074,59531
13085,10343,84516
13087,10295,47383
13089,284730,76044
13091,6608,46091
13093,3787,54109
13095,34041,45640
13097,50552,76930
13099,4016,48355
13101,1227,61184
13103,22820,79474
13105,7873,48190
13107,8321,47905
13109,3914,55222
13111,11327,54857
13113,42888,105910
13115,35996,57868
13117,84662,131660
13119,8539,52597
13121,450856,86267
13123,12868,70334
13125,1052,60469
13127,33991,65970
13129,20555,57555
13131,9792,51929
13133,7617,77527
13135,317971,82296
13137,15606,61292
13139,69387,74153
13141,2785,31767
13143,11357,65940
13145,12204,85936
13147,10294,61765
13149,4405,62965
13151,82232,79663
13153,60607,76968
13155,3566,46383
13157,25740,82056
13159,5530,57374
13161,5365,41780
13163,5826,46865
13165,3297,31463
13167,3290,47796
13169,10581,66288
13171,6918,64966
13173,3544,39971
13175,17813,46776
13177,11806,83632
13179,22975,55149
13181,3015,50754
13183,5547,56819
13185,43720,52821
13187,11450,67592
13189,8212,54752
13191,4786,51262
13193,3985,33960
13195,10883,53626
13197,2872,48836
13199,8106,52392
13201,2531,52132
13205,7924,45966
13207,10248,74867
13209,2966,49138
13211,7587,81524
13213,14859,60617
13215,79856,54561
13217,39906,70732
13219,14330,116221
13221,5273,66672
13223,56715,89237
13225,10164,60940
13227,13042,72558
13229,7460,54861
13231,6445,83866
13233,15517,51956
13235,3117,42545
13237,9852,60825
13239,958,38889
13241,7020,57261
13243,2553,24638
13245,74028,50605
13247,33240,68999
13249,1578,53274
13251,4727,49941
13253,3653,46063
13255,26303,57367
13257,10213,52901
13259,1738,43094
13261,10639,38899
13263,2538,48065
13265,643,45881
13267,7552,51868
13269,3048,40727
13271,2948,41801
13273,3300,43507
13275,18168,55958
13277,15328,52561
13279,9754,47310
13281,5464,55574
13283,2295,38641
13285,25587,53599
13287,3121,39666
13289,2900,50446
13291,10759,59783
13293,10412,48740
13295,26087,52276
13297,34070,79425
13299,12756,44138
13301,1945,45091
13303,7256,43810
13305,10754,49847
13307,876,35000
13309,1597,36354
13311,10344,66256
13313,35797,59659
13315,2499,46759
13317,4032,51780
13319,3313,40757
13321,7896,56496
15001,72468,74238
15003,333700,99816
15005,32,87813
15007,22978,88869
15009,54728,95379
16001,190641,83881
16003,1687,55891
16005,32704,60998
16007,2323,63244
16009,3826,54191
16011,15627,69433
16013,9298,81794
16015,3396,70776
16017,19228,61816
16019,42402,73103
16021,4710,58810
16023,1024,37358
16025,323,63750
16027,79728,68473
16029,2527,65380
16031,8180,63525
16033,258,53500
16035,3511,55885
16037,1808,60357
16039,10760,55000
16041,4672,61679
16043,4320,67015
16045,7196,65204
16047,5413,60938
16049,6603,54745
16051,9623,77491
16053,8092,67347
16055,67002,71949
16057,15929,62258
16059,3328,49216
16061,1566,46484
16063,1846,62250
16065,11979,53025
16067,7474,63594
16069,17124,65023
16071,1841,67383
16073,4227,58440
16075,9352,62721
16077,2671,56671
16079,5478,44807
16081,4317,88906
16083,33360,61183
16085,3806,72878
16087,4143,50046
17001,27490,63767
17003,1727,40365
17005,6220,58617
17007,19024,80502
17009,2066,64760
17011,13901,64165
17013,1205,88059
17015,6317,61539
17017,5004,64826
17019,82467,61090
17021,13473,56933
17023,6447,65874
17025,5477,58028
17027,14493,78054
17029,20385,53732
17031,2066248,78304
17033,7481,64163
17035,4142,71274
17037,39139,68617
17039,6644,61823
17041,7640,67177
17043,348870,107035
17045,7598,56687
17047,2625,60784
17049,14098,73181
17051,7678,51962
17053,5689,58930
17055,16095,51031
17057,13955,57223
17059,2155,51868
17061,4543,58900
17063,20376,89993
17065,3271,60574
17067,7510,61026
17069,1480,53026
17071,2745,64946
17073,20187,66313
17075,11217,62866
17077,23133,44847
17079,3710,67429
17081,14778,58384
17083,7735,77607
17085,10074,67729
17087,4106,63295
17089,182319,96400
17091,40591,65489
17093,43878,106358
17095,20734,50263
17097,254794,104553
17099,45130,67942
17101,5426,55811
17103,13669,64588
17105,14665,68175
17107,11101,62547
17109,11600,48904
17111,115467,100101
17113,68491,75356
17115,43362,59622
17117,17567,64706
17119,108914,71759
17121,15236,59099
17123,4967,64940
17125,5788,58479
17127,5413,57365
17129,5085,84846
17131,6435,67028
17133,13565,100685
17135,11259,61796
17137,13293,61188
17139,5824,72833
17141,20807,75782
17143,76414,63409
17145,8147,56338
17147,6783,81151
17149,5734,55514
17151,1349,57582
17153,1886,41038
17155,2400,75726
17157,11650,63860
17159,6485,61607
17161,61014,64435
17163,100701,68915
17165,10165,51710
17167,84017,71653
17169,2725,63737
17171,1952,70500
17173,8762,65585
17175,2326,58125
17177,19337,57527
17179,53676,74606
17181,6763,54090
17183,29904,52787
17185,4778,54074
17187,6836,62700
17189,5747,75111
17191,6848,53522
17193,5676,54605
17195,23164,62828
17197,239064,103678
17199,28521,60325
17201,115214,61738
17203,14725,80093
18001,12349,61731
18003,151877,66222
18005,32773,76912
18007,3423,58620
18009,4980,51108
18011,26959,103038
18013,6580,73933
18015,7967,61464
18017,14970,55862
18019,47844,69005
18021,10422,68364
18023,12382,59515
18025,4336,46706
18027,11606,64113
18029,19915,80352
18031,10301,71566
18033,16983,68110
18035,46159,53377
18037,17437,68945
18039,71751,63978
18041,9672,52219
18043,30911,75686
18045,6820,60559
18047,8976,75985
18049,7794,62644
18051,12978,64153
18053,26550,53033
18055,12643,57771
18057,129749,114866
18059,31424,85262
18061,14743,71302
18063,64403,95261
18065,18549,57632
18067,34957,62014
18069,15165,59894
18071,17574,65609
18073,12554,77777
18075,8091,52231
18077,12890,57801
18079,10461,66892
18081,60274,82730
18083,14943,58173
18085,31325,70945
18087,12641,81658
18089,191872,66375
18091,43235,66854
18093,18873,64210
18095,51788,60060
18097,392837,59504
18099,16915,66016
18101,3963,65489
18103,13069,59551
18105,57466,60308
18107,15404,62937
18109,27138,79134
18111,5469,63673
18113,17688,70286
18115,2552,66333
18117,7951,60775
18119,8466,57947
18121,5725,63393
18123,7586,58936
18125,5031,64182
18127,67945,82915
18129,10179,75594
18131,4795,56823
18133,13808,70609
18135,10191,59674
18137,11114,70285
18139,6719,62386
18141,107466,61877
18143,9693,49343
18145,18034,66449
18147,7858,66168
18149,8647,59916
18151,13794,68837
18153,7709,54556
18155,3783,66525
18157,73327,55728
18159,6170,71947
18161,2912,68514
18163,76857,58839
18165,6506,59567
18167,42756,52789
18169,12471,66194
18171,3312,72833
18173,24540,91105
18175,10882,60695
18177,27159,54854
18179,11155,68074
18181,9859,65345
18183,13826,73636
19001,3224,63172
19003,1523,64750
19005,5970,64049
19007,5028,50684
19009,2535,54973
19011,10114,79444
19013,53691,62329
19015,10893,75759
19017,9684,84727
19019,8020,73493
19021,7538,62662
19023,5839,65743
19025,3852,65614
19027,8696,68041
19029,5771,60815
19031,7508,76959
19033,19450,63149
19035,5143,63638
19037,4920,72734
19039,3879,63120
19041,7225,61756
19043,7286,60441
19045,19174,61080
19047,6214,61188
19049,39386,99533
19051,3172,77176
19053,3058,56068
19055,7068,75896
19057,17251,58084
19059,8279,72446
19061,39985,73495
19063,3881,64461
19065,8228,56043
19067,6600,62356
19069,4102,62214
19071,2736,69375
19073,3837,56884
19075,5062,80701
19077,4518,75795
19079,6203,66685
19081,4582,67865
19083,7029,64656
19085,5963,75830
19087,7642,62365
19089,3636,63947
19091,4213,66617
19093,3016,63125
19095,6798,69787
19097,8109,69709
19099,14630,67784
19101,6826,52210
19103,61414,72977
19105,8062,68781
19107,4085,60016
19109,6421,62553
19111,14246,58094
19113,94291,75457
19115,4112,72500
19117,3621,63405
19119,4412,73735
19121,6475,88110
19123,8873,65200
19125,13310,74193
19127,15288,70828
19129,5261,81907
19131,4505,66056
19133,3852,59897
19135,3032,76324
19137,4493,61261
19139,17075,67427
19141,5700,65076
19143,2631,67561
19145,6137,58264
19147,3635,67306
19149,10214,79963
19151,3083,61434
19153,199013,78827
19155,37162,68718
19157,7761,61192
19159,1844,67898
19161,4210,68778
19163,71436,72792
19165,4933,70295
19167,12462,81914
19169,38412,66197
19171,6703,65483
19173,2442,65926
19175,4979,56495
19177,2842,58417
19179,14193,56209
19181,19906,89741
19183,8922,71122
19185,2531,58257
19187,15582,65335
19189,4511,62853
19191,8218,67770
19193,40299,68399
19195,3190,69897
19197,5373,58240
20001,4981,55059
20003,3165,67651
20005,5840,55281
20007,1771,53774
20009,10055,54634
20011,5875,55826
20013,3664,55876
20015,24760,77724
20017,1065,52481
20019,1323,51210
20021,7533,53382
20023,1207,52730
20025,807,58287
20027,3570,57765
20029,3677,51197
20031,3543,67645
20033,827,49754
20035,13091,55726
20037,15806,49779
20039,1324,49412
20041,7903,62971
20043,2735,66358
20045,49605,66153
20047,1225,52750
20049,1028,50000
20051,11958,59665
20053,2305,59844
20055,13021,68481
20057,11676,67997
20059,10185,68217
20061,13512,57992
20063,1182,59417
20065,1200,47071
20067,2420,84808
20069,2054,74500
20071,553,69948
20073,2584,51812
20075,716,58750
20077,2186,53032
20079,13246,70685
20081,1354,66458
20083,710,63125
20085,5182,70385
20087,7316,74562
20089,1278,47109
20091,241191,103644
20093,1352,68750
20095,3104,59640
20097,927,70347
20099,7956,56143
20101,672,52222
20103,29226,84307
20105,1223,52540
20107,4093,56697
20109,1209,70382
20111,13223,56415
20113,12140,71250
20115,4577,60011
20117,4079,64306
20119,1602,74063
20121,13239,85564
20123,2445,63008
20125,12682,51513
20127,2288,52866
20129,939,57943
20131,3986,72788
20133,6207,54894
20135,1144,64907
20137,1881,52710
20139,6280,66155
20141,1604,58750
20143,2374,74551
20145,2396,54141
20147,2191,57611
20149,9054,85241
20151,3580,61685
20153,1165,61827
20155,25157,57390
20157,2029,54531
20159,3763,58523
20161,26765,56327
20163,2127,60821
20165,1344,53523
20167,2995,49929
20169,22358,59887
20171,2143,53365
20173,202485,65372
20175,7071,57131
20177,74394,63463
20179,1009,66719
20181,2317,61404
20183,1560,50943
20185,1610,60000
20187,888,66000
20189,1715,67950
20191,8977,59397
20193,3129,72417
20195,1308,77500
20197,2570,70000
20199,663,57708
20201,2344,59432
20203,880,69551
20205,3492,55439
20207,1213,50670
20209,61282,57771
21001,6803,49690
21003,7816,57159
21005,9180,69885
21007,2959,57111
21009,17592,48141
21011,4844,51471
21013,9456,33658
21015,49587,91697
21017,8067,54580
21019,18533,58327
21021,11649,56568
21023,3138,59911
21025,5529,38209
21027,7542,51756
21029,31068,73900
21031,4501,47589
21033,5128,52488
21035,14805,48276
21037,38684,71979
21039,1905,53065
21041,4039,50625
21043,9778,47004
21045,6029,42190
21047,25602,48920
21049,14762,61878
21051,7110,37888
21053,3672,41180
21055,3495,45810
21057,2519,40515
21059,40722,64021
21061,4760,53029
21063,2263,39469
21065,5740,39980
21067,136104,66087
21069,5747,46885
21071,14282,38723
21073,22553,62929
21075,2378,35449
21077,3108,58641
21079,6488,58263
21081,9146,65461
21083,14304,52526
21085,9705,47024
21087,4399,38595
21089,14478,58562
21091,3466,68102
21093,42638,64136
21095,10498,35128
21097,7291,58840
21099,7199,45561
21101,18285,56912
21103,6017,58294
21105,1621,68589
21107,18345,54466
21109,5154,38516
21111,327211,66296
21113,19251,69905
21115,8534,44231
21117,67353,76016
21119,5563,38336
21121,11229,34254
21123,5967,57867
21125,23424,53693
21127,5721,42488
21129,2637,31682
21131,3698,37019
21133,8415,38466
21135,4757,36662
21137,9692,49487
21139,3537,56125
21141,10850,58869
21143,3229,64081
21145,27000,58490
21147,5510,35000
21149,3609,64020
21151,36148,59797
21153,4554,31927
21155,7588,49627
21157,12998,64597
21159,3756,45265
21161,6695,48460
21163,10554,68518
21165,2262,43797
21167,9079,60728
21169,4160,46932
21171,4544,47252
21173,10705,53436
21175,4665,46018
21177,11847,50935
21179,18457,66212
