NAME,Baseline Coverage,State Spillover,NEVI Coverage,AFC Coverage,NEVI Increase
Alabama,0.20,0.16,0.03,0.89,0.86
Alaska,0.41,0.00,0.35,0.65,0.30
Arizona,0.16,0.05,0.12,0.98,0.86
Arkansas,0.05,0.03,0.02,0.79,0.78
California,0.90,0.11,0.79,0.99,0.20
Colorado,0.42,0.16,0.22,0.88,0.65
Connecticut,0.87,0.82,0.34,0.96,0.62
Delaware,0.68,0.67,0.28,0.95,0.68
District of Columbia,0.68,0.68,0.11,0.95,0.84
Florida,0.50,0.04,0.17,0.93,0.76
Georgia,0.24,0.15,0.07,0.90,0.83
Idaho,0.11,0.09,0.03,0.95,0.92
Illinois,0.22,0.14,0.08,0.87,0.79
Indiana,0.19,0.17,0.03,0.89,0.86
Iowa,0.19,0.16,0.02,0.85,0.83
Kansas,0.07,0.04,0.03,0.82,0.79
Kentucky,0.10,0.07,0.02,0.90,0.88
Louisiana,0.08,0.05,0.03,0.85,0.82
Maine,0.94,0.93,0.04,0.98,0.94
Maryland,0.65,0.58,0.14,0.95,0.80
Massachusetts,0.92,0.81,0.21,0.97,0.76
Michigan,0.42,0.33,0.05,0.91,0.85
Minnesota,0.17,0.03,0.08,0.84,0.77
Mississippi,0.08,0.06,0.02,0.86,0.85
Missouri,0.07,0.03,0.03,0.86,0.83
Montana,0.03,0.01,0.02,0.90,0.88
Nebraska,0.05,0.02,0.03,0.82,0.79
Nevada,0.79,0.72,0.71,0.99,0.28
New Hampshire,0.95,0.92,0.14,0.98,0.84
New Jersey,0.77,0.66,0.29,0.96,0.66
New Mexico,0.25,0.22,0.04,0.89,0.85
New York,0.78,0.64,0.17,0.95,0.78
North Carolina,0.21,0.12,0.04,0.93,0.89
North Dakota,0.21,0.18,0.02,0.60,0.58
Ohio,0.42,0.35,0.04,0.92,0.89
Oklahoma,0.31,0.26,0.04,0.82,0.78
Oregon,0.71,0.55,0.20,0.98,0.77
Pennsylvania,0.66,0.57,0.20,0.95,0.75
Rhode Island,0.90,0.88,0.39,0.97,0.59
South Carolina,0.29,0.25,0.05,0.92,0.87
South Dakota,0.03,0.02,0.01,0.74,0.73
Tennessee,0.18,0.14,0.03,0.90,0.87
Texas,0.30,0.05,0.11,0.79,0.68
Utah,0.40,0.28,0.10,0.93,0.83
Vermont,0.96,0.96,0.04,0.97,0.93
Virginia,0.59,0.52,0.08,0.94,0.87
Washington,0.69,0.26,0.49,0.96,0.47
West Virginia,0.36,0.35,0.03,0.94,0.91
Wisconsin,0.21,0.15,0.08,0.88,0.80
Wyoming,0.25,0.24,0.08,0.88,0.81