,,500 miles,,,400 miles,,,600 miles,,,1000miles,,
STUSPS,NAME,Baseline Coverage,NEVI Coverage,AFC Coverage,Baseline Coverage,NEVI Coverage,AFC Coverage,Baseline Coverage,NEVI Coverage,AFC Coverage,Baseline Coverage,NEVI Coverage,AFC Coverage
AL,Alabama,20%,3%,89%,28%,4%,88%,14%,2%,90%,7%,1%,90%
AK,Alaska,43%,36%,67%,46%,40%,70%,42%,36%,66%,40%,34%,63%
AZ,Arizona,16%,12%,98%,19%,15%,98%,13%,10%,98%,8%,5%,92%
AR,Arkansas,5%,2%,79%,8%,2%,78%,4%,1%,80%,2%,1%,83%
CA,California,90%,79%,99%,92%,82%,99%,84%,71%,99%,68%,50%,98%
CO,Colorado,42%,22%,88%,62%,35%,89%,24%,13%,88%,6%,3%,89%
CT,Connecticut,87%,34%,96%,92%,39%,98%,77%,27%,95%,45%,15%,93%
DE,Delaware,68%,28%,95%,77%,35%,96%,62%,24%,94%,38%,15%,93%
DC,District of Columbia,68%,11%,95%,75%,13%,95%,58%,9%,94%,40%,6%,92%
FL,Florida,50%,17%,93%,68%,23%,95%,34%,11%,93%,11%,4%,91%
GA,Georgia,24%,7%,90%,33%,10%,90%,17%,5%,91%,9%,3%,91%
HI,Hawaii,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%
ID,Idaho,11%,3%,95%,16%,5%,95%,8%,2%,96%,6%,1%,95%
IL,Illinois,22%,8%,87%,28%,11%,88%,19%,6%,87%,17%,3%,90%
IN,Indiana,19%,3%,89%,24%,5%,89%,19%,2%,90%,17%,1%,91%
IA,Iowa,19%,2%,85%,27%,3%,83%,15%,2%,86%,6%,1%,89%
KS,Kansas,7%,3%,82%,12%,6%,79%,5%,2%,84%,2%,1%,87%
KY,Kentucky,10%,2%,90%,13%,3%,90%,8%,2%,90%,5%,1%,91%
LA,Louisiana,8%,3%,85%,13%,5%,84%,6%,2%,86%,3%,1%,89%
ME,Maine,94%,4%,98%,95%,5%,98%,90%,3%,98%,54%,2%,94%
MD,Maryland,65%,14%,95%,71%,17%,95%,56%,12%,94%,37%,8%,92%
MA,Massachusetts,92%,21%,97%,99%,26%,98%,85%,18%,95%,49%,9%,94%
MI,Michigan,42%,5%,91%,36%,9%,91%,43%,4%,91%,35%,3%,91%
MN,Minnesota,17%,8%,84%,26%,12%,82%,12%,6%,85%,4%,2%,89%
MS,Mississippi,8%,2%,86%,13%,3%,85%,5%,1%,87%,3%,1%,89%
MO,Missouri,7%,3%,86%,11%,5%,83%,5%,2%,87%,3%,1%,89%
MT,Montana,3%,2%,90%,6%,4%,88%,2%,1%,91%,1%,0%,91%
NE,Nebraska,5%,3%,82%,8%,5%,76%,3%,2%,82%,1%,1%,85%
NV,Nevada,79%,71%,99%,83%,75%,99%,72%,63%,98%,62%,47%,96%
NH,New Hampshire,95%,14%,98%,99%,17%,98%,87%,12%,93%,50%,6%,94%
NJ,New Jersey,77%,29%,96%,86%,37%,97%,68%,25%,95%,41%,15%,93%
NM,New Mexico,25%,4%,89%,28%,6%,89%,15%,2%,88%,5%,1%,86%
NY,New York,78%,17%,95%,91%,21%,97%,70%,14%,95%,42%,8%,92%
NC,North Carolina,21%,4%,93%,30%,7%,92%,16%,3%,94%,11%,2%,92%
ND,North Dakota,21%,2%,60%,33%,4%,55%,12%,1%,67%,3%,0%,74%
OH,Ohio,42%,4%,92%,46%,5%,93%,39%,3%,92%,30%,2%,91%
OK,Oklahoma,31%,4%,82%,42%,6%,80%,23%,3%,83%,10%,1%,88%
OR,Oregon,71%,20%,98%,76%,30%,97%,83%,15%,98%,72%,6%,98%
PA,Pennsylvania,66%,20%,95%,76%,25%,95%,58%,17%,94%,38%,11%,92%
RI,Rhode Island,90%,39%,97%,98%,45%,98%,80%,32%,92%,48%,17%,94%
SC,South Carolina,29%,5%,92%,40%,8%,91%,21%,4%,93%,13%,2%,92%
SD,South Dakota,3%,1%,74%,6%,2%,68%,2%,1%,76%,1%,0%,80%
TN,Tennessee,18%,3%,90%,27%,4%,88%,13%,2%,90%,9%,1%,91%
TX,Texas,30%,11%,79%,37%,15%,80%,24%,9%,80%,9%,3%,84%
UT,Utah,40%,10%,93%,56%,16%,94%,20%,4%,97%,12%,2%,93%
VT,Vermont,96%,4%,97%,99%,5%,98%,88%,3%,96%,48%,2%,93%
VA,Virginia,59%,8%,94%,66%,10%,94%,52%,6%,94%,36%,4%,92%
WA,Washington,69%,49%,96%,76%,55%,96%,61%,39%,96%,72%,11%,96%
WV,West Virginia,36%,3%,94%,42%,4%,94%,32%,2%,93%,23%,2%,92%
WI,Wisconsin,21%,8%,88%,28%,10%,88%,17%,6%,87%,6%,3%,91%
WY,Wyoming,25%,8%,88%,36%,12%,90%,17%,5%,87%,3%,1%,90%
,,,,,,,,,,,,,
,,,,,,,,,,,,,