STATEFP,STATENS,STUSPS,NAME,Baseline Coverage,NEVI Coverage,AFC Coverage,State Spillover,NEVI Increase
1,1779775,AL,Alabama,20%,4%,90%,16%,86%
2,1785533,AK,Alaska,43%,39%,69%,0%,30%
4,1779777,AZ,Arizona,70%,68%,98%,57%,31%
5,68085,AR,Arkansas,19%,2%,82%,16%,80%
6,1779778,CA,California,91%,89%,99%,13%,11%
8,1779779,CO,Colorado,44%,23%,88%,19%,65%
9,1779780,CT,Connecticut,94%,67%,97%,90%,30%
10,1779781,DE,Delaware,82%,48%,96%,81%,48%
11,1702382,DC,District of Columbia,76%,45%,96%,76%,50%
12,294478,FL,Florida,55%,37%,94%,8%,57%
13,1705317,GA,Georgia,26%,9%,92%,16%,82%
15,1779782,HI,Hawaii,37%,37%,37%,0%,0%
16,1779783,ID,Idaho,25%,5%,96%,23%,91%
17,1779784,IL,Illinois,32%,9%,89%,22%,79%
18,448508,IN,Indiana,32%,5%,91%,29%,85%
19,1779785,IA,Iowa,26%,3%,87%,22%,85%
20,481813,KS,Kansas,20%,3%,84%,17%,81%
21,1779786,KY,Kentucky,35%,3%,91%,33%,89%
22,1629543,LA,Louisiana,12%,4%,88%,8%,84%
23,1779787,ME,Maine,94%,82%,99%,92%,17%
24,1714934,MD,Maryland,78%,45%,96%,71%,51%
25,606926,MA,Massachusetts,99%,76%,98%,89%,22%
26,1779789,MI,Michigan,58%,7%,92%,48%,85%
27,662849,MN,Minnesota,17%,9%,86%,3%,77%
28,1779790,MS,Mississippi,9%,3%,89%,7%,87%
29,1779791,MO,Missouri,22%,3%,88%,17%,84%
30,767982,MT,Montana,29%,4%,91%,27%,87%
31,1779792,NE,Nebraska,6%,3%,83%,3%,80%
32,1779793,NV,Nevada,87%,82%,99%,80%,17%
33,1779794,NH,New Hampshire,99%,80%,99%,97%,19%
34,1779795,NJ,New Jersey,88%,54%,97%,78%,43%
35,897535,NM,New Mexico,34%,4%,89%,30%,85%
36,1779796,NY,New York,90%,45%,96%,75%,51%
37,1027616,NC,North Carolina,31%,8%,95%,22%,87%
38,1779797,ND,North Dakota,21%,7%,62%,18%,55%
39,1085497,OH,Ohio,55%,5%,94%,47%,89%
40,1102857,OK,Oklahoma,47%,5%,85%,42%,80%
41,1155107,OR,Oregon,75%,23%,98%,58%,75%
42,1779798,PA,Pennsylvania,79%,37%,96%,69%,59%
44,1219835,RI,Rhode Island,98%,75%,98%,96%,23%
45,1779799,SC,South Carolina,36%,9%,94%,31%,85%
46,1785534,SD,South Dakota,4%,1%,80%,3%,78%
47,1325873,TN,Tennessee,27%,4%,91%,23%,87%
48,1779801,TX,Texas,49%,20%,82%,11%,63%
49,1455989,UT,Utah,57%,32%,94%,44%,62%
50,1779802,VT,Vermont,99%,78%,98%,98%,20%
51,1779803,VA,Virginia,77%,27%,95%,69%,68%
53,1779804,WA,Washington,79%,56%,97%,32%,40%
54,1779805,WV,West Virginia,61%,13%,95%,59%,82%
55,1779806,WI,Wisconsin,26%,10%,89%,20%,80%
56,1779807,WY,Wyoming,30%,8%,89%,28%,81%
72,1779808,PR,Puerto Rico,100%,100%,100%,0%,0%