,,,,Telsa,,,,,without,,,,,delta,,,,
STATEFP,STATENS,STUSPS,NAME,Baseline Coverage,NEVI Coverage,AFC Coverage,State Spillover,NEVI Increase,Baseline Coverage,NEVI Coverage,AFC Coverage,State Spillover,NEVI Increase,Baseline Coverage,NEVI Coverage,AFC Coverage,State Spillover,NEVI Increase
1,1779775,AL,Alabama,20%,4%,90%,16%,86%,19%,3%,89%,15%,86%,1%,1%,1%,1%,0%
4,1779777,AZ,Arizona,70%,68%,98%,57%,31%,16%,12%,98%,5%,86%,54%,56%,0%,52%,-56%
5,68085,AR,Arkansas,19%,2%,82%,16%,80%,5%,2%,79%,3%,78%,13%,0%,3%,13%,3%
6,1779778,CA,California,91%,89%,99%,13%,11%,90%,78%,99%,11%,21%,2%,10%,0%,2%,-10%
8,1779779,CO,Colorado,44%,23%,88%,19%,65%,41%,20%,87%,17%,67%,3%,3%,1%,2%,-2%
9,1779780,CT,Connecticut,94%,67%,97%,90%,30%,86%,33%,96%,82%,63%,8%,34%,1%,8%,-33%
10,1779781,DE,Delaware,82%,48%,96%,81%,48%,68%,27%,95%,67%,68%,14%,21%,1%,14%,-20%
11,1702382,DC,District of Columbia,76%,45%,96%,76%,50%,67%,11%,95%,67%,84%,9%,35%,1%,9%,-34%
12,294478,FL,Florida,55%,37%,94%,8%,57%,49%,16%,93%,4%,77%,5%,20%,1%,4%,-20%
13,1705317,GA,Georgia,26%,9%,92%,16%,82%,24%,7%,91%,15%,84%,2%,2%,1%,2%,-1%
16,1779783,ID,Idaho,25%,5%,96%,23%,91%,11%,3%,95%,9%,92%,14%,2%,1%,14%,-1%
17,1779784,IL,Illinois,32%,9%,89%,22%,79%,22%,8%,87%,14%,79%,10%,1%,2%,8%,1%
18,448508,IN,Indiana,32%,5%,91%,29%,85%,19%,3%,89%,17%,86%,13%,2%,1%,13%,0%
19,1779785,IA,Iowa,26%,3%,87%,22%,85%,19%,2%,85%,16%,83%,7%,1%,2%,6%,1%
20,481813,KS,Kansas,20%,3%,84%,17%,81%,7%,3%,82%,4%,79%,13%,0%,2%,13%,2%
21,1779786,KY,Kentucky,35%,3%,91%,33%,89%,10%,2%,90%,7%,88%,25%,1%,2%,25%,1%
22,1629543,LA,Louisiana,12%,4%,88%,8%,84%,8%,3%,85%,5%,82%,3%,1%,3%,3%,2%
23,1779787,ME,Maine,94%,82%,99%,92%,17%,94%,4%,98%,92%,94%,0%,78%,1%,0%,-77%
24,1714934,MD,Maryland,78%,45%,96%,71%,51%,64%,14%,95%,57%,81%,14%,30%,1%,14%,-29%
25,606926,MA,Massachusetts,99%,76%,98%,89%,22%,92%,21%,97%,81%,76%,7%,55%,1%,7%,-54%
26,1779789,MI,Michigan,58%,7%,92%,48%,85%,41%,5%,91%,32%,86%,16%,2%,1%,16%,0%
27,662849,MN,Minnesota,17%,9%,86%,3%,77%,16%,7%,84%,3%,77%,1%,2%,2%,0%,-1%
28,1779790,MS,Mississippi,9%,3%,89%,7%,87%,8%,2%,87%,6%,85%,1%,1%,3%,1%,2%
29,1779791,MO,Missouri,22%,3%,88%,17%,84%,7%,3%,86%,3%,83%,15%,0%,2%,14%,1%
30,767982,MT,Montana,29%,4%,91%,27%,87%,3%,2%,90%,1%,88%,26%,2%,1%,25%,-1%
31,1779792,NE,Nebraska,6%,3%,83%,3%,80%,5%,3%,82%,2%,79%,1%,0%,2%,1%,2%
32,1779793,NV,Nevada,87%,82%,99%,80%,17%,78%,69%,99%,70%,29%,10%,12%,0%,9%,-12%
33,1779794,NH,New Hampshire,99%,80%,99%,97%,19%,95%,13%,98%,92%,84%,4%,66%,1%,4%,-65%
34,1779795,NJ,New Jersey,88%,54%,97%,78%,43%,76%,29%,96%,66%,67%,11%,25%,1%,11%,-24%
35,897535,NM,New Mexico,34%,4%,89%,30%,85%,25%,4%,88%,21%,84%,9%,0%,1%,9%,1%
36,1779796,NY,New York,90%,45%,96%,75%,51%,78%,17%,95%,64%,78%,12%,28%,1%,12%,-27%
37,1027616,NC,North Carolina,31%,8%,95%,22%,87%,21%,4%,93%,12%,89%,10%,3%,1%,10%,-2%
38,1779797,ND,North Dakota,21%,7%,62%,18%,55%,20%,2%,60%,18%,58%,0%,5%,2%,0%,-3%
39,1085497,OH,Ohio,55%,5%,94%,47%,89%,41%,4%,92%,34%,89%,14%,1%,2%,12%,0%
40,1102857,OK,Oklahoma,47%,5%,85%,42%,80%,30%,4%,82%,25%,78%,17%,1%,3%,17%,2%
41,1155107,OR,Oregon,75%,23%,98%,58%,75%,71%,21%,97%,54%,77%,4%,2%,0%,4%,-2%
42,1779798,PA,Pennsylvania,79%,37%,96%,69%,59%,66%,19%,95%,56%,76%,13%,18%,1%,13%,-17%
44,1219835,RI,Rhode Island,98%,75%,98%,96%,23%,90%,38%,97%,88%,60%,8%,37%,1%,8%,-36%
45,1779799,SC,South Carolina,36%,9%,94%,31%,85%,28%,5%,92%,24%,87%,7%,4%,1%,7%,-3%
46,1785534,SD,South Dakota,4%,1%,80%,3%,78%,3%,1%,74%,2%,73%,0%,0%,5%,0%,5%
47,1325873,TN,Tennessee,27%,4%,91%,23%,87%,17%,3%,90%,13%,87%,9%,1%,1%,9%,0%
48,1779801,TX,Texas,49%,20%,82%,11%,63%,29%,11%,79%,5%,68%,21%,9%,3%,6%,-6%
49,1455989,UT,Utah,57%,32%,94%,44%,62%,40%,11%,93%,27%,82%,17%,21%,1%,17%,-20%
50,1779802,VT,Vermont,99%,78%,98%,98%,20%,96%,4%,97%,96%,93%,2%,74%,1%,2%,-73%
51,1779803,VA,Virginia,77%,27%,95%,69%,68%,58%,8%,94%,51%,87%,19%,20%,1%,18%,-18%
53,1779804,WA,Washington,79%,56%,97%,32%,40%,68%,48%,96%,26%,48%,12%,8%,1%,5%,-7%
54,1779805,WV,West Virginia,61%,13%,95%,59%,82%,35%,3%,94%,35%,91%,25%,10%,1%,25%,-9%
55,1779806,WI,Wisconsin,26%,10%,89%,20%,80%,20%,8%,88%,14%,80%,6%,2%,1%,5%,-1%
56,1779807,WY,Wyoming,30%,8%,89%,28%,81%,25%,7%,88%,23%,81%,5%,1%,1%,5%,0%
72,1779808,PR,Puerto Rico,100%,100%,100%,0%,0%,,,,,,100%,100%,100%,0%,0%